id,name,host_name,neighbourhood,latitude,longitude,bedrooms,bathrooms,square_feet,property_type,room_type,guests_included,extra_people,minimum_nights,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,last_review,reviews_per_month,price,cleaning_fee,security_deposit,monthly_revenue
33197258,"Location, views, and more... Russian Hill Nest",Jan,Russian Hill,37.79942,-122.41893999999999,2.0,1.0,,House,Entire home/apt,1,0.0,30,30,90,365,1,100.0,2019-08-10,0.45,180.0,100.0,0.0,891.0
33198942,Petite and Perfect Russian Hill Studio w/ Parking,Carlos,Russian Hill,37.80267,-122.42164,0.0,1.0,,Apartment,Entire home/apt,1,0.0,30,12,22,297,2,100.0,2019-06-02,0.34,120.0,150.0,0.0,448.8
33199120,"Neighborhoody, Bright Classic 2BR/2BA SF Flat!",Whei,Duboce Triangle,37.770759999999996,-122.43153000000001,2.0,2.0,,Apartment,Entire home/apt,4,30.0,2,0,0,0,4,100.0,2019-09-02,0.61,232.0,150.0,100.0,1556.72
33224082,Warm & cozy sunny room in heart of Mission Dist.,Clive,Mission District,37.751059999999995,-122.41233000000001,1.0,1.0,,Condominium,Private room,1,20.0,2,11,65,65,27,96.0,2019-10-01,4.33,89.0,40.0,300.0,4239.070000000001
33224754,Studio 2 in great location,Monty,Richmond District,37.780570000000004,-122.45066000000001,0.0,1.0,,Apartment,Entire home/apt,1,10.0,30,0,11,286,2,100.0,2019-08-03,0.36,75.0,90.0,0.0,297.0
33241183,Charming bedroom in sunny Bernal Heights apt,Mohit,Bernal Heights,37.74698,-122.4151,1.0,1.0,,Apartment,Private room,1,25.0,2,1,30,120,6,100.0,2019-10-01,1.09,99.0,75.0,250.0,1187.01
33254247,Noe Valley Modern II,Viona,Noe Valley,37.75327,-122.43276999999999,1.0,1.5,,House,Private room,1,0.0,1,0,0,0,9,100.0,2019-09-22,1.71,83.0,100.0,200.0,1561.2299999999998
33256694,31A- Cozy Room w/ Private Bath near Glen Park BART,Zhen,Mission Terrace,37.73195,-122.42886999999999,1.0,1.0,,House,Private room,1,0.0,1,21,81,81,28,89.0,2019-09-27,4.72,84.0,40.0,100.0,4361.28
33270767,Private 2 bd in 3bd Cow Palace home,Kenny,Visitacion Valley,37.7096,-122.41843999999999,2.0,1.0,,House,Private room,3,15.0,1,21,79,169,5,92.0,2019-08-14,0.76,150.0,45.0,150.0,1254.0
33271309,2BR NoPa Sanctuary ⭐️ Jacuzzi ⭐️ Walk Everywhere,Dylan & Alex,Western Addition/NOPA,37.77487,-122.45034,2.0,2.0,,Apartment,Entire home/apt,4,0.0,2,7,16,150,10,100.0,2019-09-29,1.52,699.0,223.0,1000.0,11687.279999999999
33272418,Comfy Room in Bernal Heights,Cruz,Bernal Heights,37.73989,-122.41122,1.0,1.0,,House,Private room,1,0.0,1,0,11,31,29,99.0,2019-10-03,5.24,75.0,15.0,0.0,4323.0
33275444,Bright Historic Victorian in Valencia with a cat,Yoriko,Mission District,37.75841,-122.42154,3.0,1.5,,House,Entire home/apt,3,50.0,4,0,0,0,4,100.0,2019-08-15,0.68,200.0,120.0,100.0,1496.0
33289179,** North Beach House - 3 Bed/2 Bath**,Trevor,Chinatown,37.79817,-122.4093,3.0,2.0,,House,Entire home/apt,7,25.0,30,25,85,265,1,100.0,2019-08-17,0.51,235.0,300.0,2000.0,1318.3500000000001
