Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
3849 Page Mill Rd,Los Altos Hills,CA,94022,2980000,4,4.5,5008,435600,37.342421,-122.172902
706 Orange Ave,Los Altos,CA,94022,3550000,3,2.5,1478,6599,37.370507,-122.114623
27500 La Vida Real,Los Altos Hills,CA,94022,49990000,5,7.5,20982,349786.8,37.366472,-122.149971
12501 Zappettini Ct,Los Altos Hills,CA,94022,8888000,6,7.5,8625,49658.4,37.365122,-122.16531
27440 Sherlock Ct,Los Altos Hills,CA,94022,3395000,4,3,3085,45302.4,37.35916,-122.16082
780 S El Monte Ave,Los Altos,CA,94022,5495888,5,4.5,4450,17859.6,37.36731,-122.11343
27466 Sunrise Farm Rd,Los Altos Hills,CA,94022,9488000,6,5.5,6922,57063.6,37.366367,-122.154709
12661 Robleda Rd,Los Altos Hills,CA,94022,8950000,5,6,10332,87120,37.367848,-122.134455
212 Del Monte Ave,Los Altos,CA,94022,2098000,2,1,1055,6077,37.397408,-122.118699
111 S Gordon Way,Los Altos,CA,94022,6988000,5,4.5,4452,19166.4,37.365597,-122.148499
13830 Page Mill Rd,Los Altos Hills,CA,94022,12988888,4,2.5,2131,219106.8,37.382022,-122.164075
476 Mundell Way,Los Altos,CA,94022,3798000,4,3.5,2958,25264.8,37.400126,-122.124814
370 Juanita Way,Los Altos,CA,94022,3488000,5,3,2953,13068,37.391149,-122.12303
13981 Fremont Pines Ln,Los Altos Hills,CA,94022,8800000,5,4.5,5166,49222.8,37.38209,-122.131645
640 Palm Ave,Los Altos,CA,94022,2998000,3,3,2099,7466,37.371525,-122.114607
14433 Debell Rd,Los Altos Hills,CA,94022,3488000,3,3,2161,46609.2,37.386777,-122.131619
44 Mount Hamilton Ave,Los Altos,CA,94022,3888000,4,3,3045,8699,37.383019,-122.115226
308 Blue Oak Ln,Los Altos,CA,94022,3450000,4,3,3190,18295.2,37.385985,-122.124406
12190 Padre Ct,Los Altos Hills,CA,94022,6288000,5,4,6582,50529.6,37.357834,-122.138429
27760 Edgerton Rd,Los Altos Hills,CA,94022,5295000,4,6.5,7886,70567.2,37.370011,-122.157863
11511 Summit Wood Rd,Los Altos Hills,CA,94022,3955000,4,4,4408,78843.6,37.354112,-122.135579
169 E Portola Ave,Los Altos,CA,94022,3388000,5,3,2660,9714,37.39612,-122.110245
241 N Clark Ave,Los Altos,CA,94022,4298000,4,3.5,3080,11761.2,37.385766,-122.100803
26920 Almaden Ct,Los Altos Hills,CA,94022,3695000,4,2.5,3224,45738,37.362827,-122.151429
25725 Altamont Rd,Los Altos Hills,CA,94022,3998000,4,3.5,3405,52707.6,37.358227,-122.140972
25055 LA Loma Dr,Los Altos Hills,CA,94022,8488000,5,5.5,7614,43124.4,37.353843,-122.130826
26464 Taaffe Rd,Los Altos Hills,CA,94022,3398888,3,2,1513,41382,37.365421,-122.142512
200 University Ave,Los Altos,CA,94022,5999999,4,3.5,4116,26571.6,37.378275,-122.119868
25240 Cantata Way,Los Altos Hills,CA,94022,2300000,1,1,960,88426.8,37.364674,-122.119766
675 Jay St,Los Altos,CA,94022,6495000,6,4.5,4710,13068,37.386537,-122.097288
26088 Duval Way,Los Altos Hills,CA,94022,6998000,5,4.5,4307,43995.6,37.364548,-122.133894
1320 Harwalt Dr,Los Altos,CA,94024,2698000,4,2.5,2233,10890,37.358684,-122.065514
606 Paco Dr,Los Altos,CA,94024,2998000,3,2,1185,15246,37.37613,-122.099897
510 Sequoia Dr,Los Altos,CA,94024,2798000,2,1.5,1758,18730.8,37.339488,-122.074242
1161 Payne Dr,Los Altos,CA,94024,3988000,5,3,4223,13068,37.35604,-122.082259
11040 Eastbrook Ave,Los Altos,CA,94024,2998000,4,2.5,2310,43995.6,37.344882,-122.097732
931 Matts Ct,Los Altos,CA,94024,2199988,3,2.5,2164,11761.2,37.366321,-122.114367
1150 Grant Rd,Los Altos,CA,94024,1998000,3,2,1329,11325.6,37.362679,-122.078107
1416 Fallen Leaf Ln,Los Altos,CA,94024,2798000,4,2,1850,10890,37.356203,-122.064982
1347 Morton Ave,Los Altos,CA,94024,2758000,3,2,2018,10890,37.348457,-122.076273
690 Loyola Dr,Los Altos Hills,CA,94024,13950000,7,5.5,7700,164656.8,37.346061,-122.095835
1564 Vineyard Dr,Los Altos,CA,94024,2595000,3,3,2049,10890,37.336186,-122.070679
1909 Farndon Ave,Los Altos,CA,94024,2599000,3,2,1578,9736,37.344417,-122.066784
353 Costello Dr,Los Altos,CA,94024,3698000,3,2.5,2536,29620.8,37.362645,-122.107103
10718 Mora Dr,Los Altos Hills,CA,94024,19999888,6,8.5,9677,118047.6,37.338635,-122.097189
1849 Grant Park Ln,Los Altos,CA,94024,3488888,4,3.5,3260,11325.6,37.346136,-122.069568
1686 Dalehurst Ave,Los Altos,CA,94024,2298000,3,2,1243,14374.8,37.347829,-122.071482
1060 Golden Way,Los Altos,CA,94024,2995000,3,2,2034,10890,37.364015,-122.091239
1739 Joel Way,Los Altos,CA,94024,2598888,5,2.5,2490,11761.2,37.359404,-122.063753
23691 Camino Hermoso Dr,Los Altos Hills,CA,94024,5500000,3,1.5,2058,59241.6,37.344822,-122.11108
1495 Cedar Pl,Los Altos,CA,94024,2685000,4,2,2132,10890,37.335254,-122.071816
10450 Creston Dr,Los Altos,CA,94024,2988000,4,2.5,3033,14810.4,37.329238,-122.060093
2275 Deodara Dr,Los Altos,CA,94024,2675000,3,2.5,1669,12196.8,37.335354,-122.068815
1034 Golden Way,Los Altos,CA,94024,2999888,3,2,1837,10890,37.364439,-122.091239
816 S Springer Rd,Los Altos,CA,94024,2975000,5,3,2381,10018.8,37.368442,-122.096408
930 Hayman Pl,Los Altos,CA,94024,3350000,4,3.5,2615,11761.2,37.366299,-122.083032
1152 Miguel Ave,Los Altos,CA,94024,2450000,3,2,1546,9518,37.34968,-122.082051
11768 Maria Ln,Los Altos Hills,CA,94024,11998000,8,8.5,9500,98445.6,37.353725,-122.111121
1440 Highland View Ct,Los Altos,CA,94024,3398000,4,3,2818,13939.2,37.345906,-122.081791
300 Cuesta Dr,Los Altos,CA,94024,3800000,5,4.5,3395,13068,37.373804,-122.107421
1346 Arbor Ave,Los Altos,CA,94024,6495000,6,6.5,4936,17859.6,37.356478,-122.095617
1235 Nightingale Ct,Los Altos,CA,94024,4288000,5,3.5,3567,9574,37.350118,-122.079686
1653 Christina Dr,Los Altos,CA,94024,2865000,4,2,2076,10454.4,37.350831,-122.064171
1074 Riverside Dr,Los Altos,CA,94024,5600000,4,2,2639,29620.8,37.36389,-122.098424
1505 Fairway Dr,Los Altos,CA,94024,7998000,5,5.5,7200,26571.6,37.355542,-122.100607
1320 Harwalt Dr,Los Altos,CA,94024,2698000,4,2.5,2233,10890,37.358684,-122.065514
606 Paco Dr,Los Altos,CA,94024,2998000,3,2,1185,15246,37.37613,-122.099897
690 Loyola Dr,Los Altos Hills,CA,94024,13950000,7,5.5,7700,164656.8,37.346061,-122.095835
10718 Mora Dr,Los Altos Hills,CA,94024,19999888,6,8.5,9677,118047.6,37.338635,-122.097189
1161 Payne Dr,Los Altos,CA,94024,3988000,5,3,4223,13068,37.35604,-122.082259
11768 Maria Ln,Los Altos Hills,CA,94024,11998000,8,8.5,9500,98445.6,37.353725,-122.111121
11040 Eastbrook Ave,Los Altos,CA,94024,2998000,4,2.5,2310,43995.6,37.344882,-122.097732
510 Sequoia Dr,Los Altos,CA,94024,2798000,2,1.5,1758,18730.8,37.339488,-122.074242
1150 Grant Rd,Los Altos,CA,94024,1998000,3,2,1329,11325.6,37.362679,-122.078107
353 Costello Dr,Los Altos,CA,94024,3698000,3,2.5,2536,29620.8,37.362645,-122.107103
1416 Fallen Leaf Ln,Los Altos,CA,94024,2798000,4,2,1850,10890,37.356203,-122.064982
1347 Morton Ave,Los Altos,CA,94024,2758000,3,2,2018,10890,37.348457,-122.076273
1505 Fairway Dr,Los Altos,CA,94024,7998000,5,5.5,7200,26571.6,37.355542,-122.100607
931 Matts Ct,Los Altos,CA,94024,2199988,3,2.5,2164,11761.2,37.366321,-122.114367
1346 Arbor Ave,Los Altos,CA,94024,6495000,6,6.5,4936,17859.6,37.356478,-122.095617
1564 Vineyard Dr,Los Altos,CA,94024,2595000,3,3,2049,10890,37.336186,-122.070679
1909 Farndon Ave,Los Altos,CA,94024,2599000,3,2,1578,9736,37.344417,-122.066784
1495 Cedar Pl,Los Altos,CA,94024,2685000,4,2,2132,10890,37.335254,-122.071816
1060 Golden Way,Los Altos,CA,94024,2995000,3,2,2034,10890,37.364015,-122.091239
23691 Camino Hermoso Dr,Los Altos Hills,CA,94024,5500000,3,1.5,2058,59241.6,37.344822,-122.11108
1686 Dalehurst Ave,Los Altos,CA,94024,2298000,3,2,1243,14374.8,37.347829,-122.071482
1849 Grant Park Ln,Los Altos,CA,94024,3488888,4,3.5,3260,11325.6,37.346136,-122.069568
1034 Golden Way,Los Altos,CA,94024,2999888,3,2,1837,10890,37.364439,-122.091239
1653 Christina Dr,Los Altos,CA,94024,2865000,4,2,2076,10454.4,37.350831,-122.064171
1152 Miguel Ave,Los Altos,CA,94024,2450000,3,2,1546,9518,37.34968,-122.082051
1074 Riverside Dr,Los Altos,CA,94024,5600000,4,2,2639,29620.8,37.36389,-122.098424
300 Cuesta Dr,Los Altos,CA,94024,3800000,5,4.5,3395,13068,37.373804,-122.107421
930 Hayman Pl,Los Altos,CA,94024,3350000,4,3.5,2615,11761.2,37.366299,-122.083032
1739 Joel Way,Los Altos,CA,94024,2598888,5,2.5,2490,11761.2,37.359404,-122.063753
2275 Deodara Dr,Los Altos,CA,94024,2675000,3,2.5,1669,12196.8,37.335354,-122.068815
1235 Nightingale Ct,Los Altos,CA,94024,4288000,5,3.5,3567,9574,37.350118,-122.079686
816 S Springer Rd,Los Altos,CA,94024,2975000,5,3,2381,10018.8,37.368442,-122.096408
10450 Creston Dr,Los Altos,CA,94024,2988000,4,2.5,3033,14810.4,37.329238,-122.060093
1440 Highland View Ct,Los Altos,CA,94024,3398000,4,3,2818,13939.2,37.345906,-122.081791
127 Elliott Dr,Menlo Park,CA,94025,4498000,5,4,3078,9345,37.460695,-122.150098
556 Placitas Ave,Menlo Park,CA,94025,3695000,5,4,3650,10890,37.473579,-122.195253
4 Palm Ct,Menlo Park,CA,94025,5775000,5,4,3207,10454.4,37.437836,-122.193536
670 Magnolia St,Menlo Park,CA,94025,4850000,5,4.5,3035,10018.8,37.437714,-122.190285
304 Ivy Dr,Menlo Park,CA,94025,1199000,4,2,1437,5750,37.475555,-122.163528
524 9th Ave,Menlo Park,CA,94025,1725000,3,3,1610,5634,37.473679,-122.19881
