,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Price,Longitude,Latitude,Price per sqft,Price per lot sqft
4128,3231,2913 Kilkare Rd,Sunol,94586,4,3.0,1904,0.35,1986,0,950000,-121.8885972,37.5941557,498.94957983193285,62.3114259477896
4129,2261,1181 Court Ln,Concord,94518,4,2.0,1888,0.28,1977,2,760000,-122.0107599,37.96106073,402.54237288135596,62.31142594778957
4130,3823,5227 Pavilion,Fairfield,94533,5,4.0,3118,0.276,1996,3,749000,-122.149388,38.22631117,240.2180885182809,62.29954352483996
4131,4104,5227 Pavilion,Fairfield,94533,5,4.0,3118,0.276,1996,3,749000,-122.149388,38.22631117,240.2180885182809,62.29954352483996
4132,4388,117 La Canada Way,Santa Cruz,95060,2,2.0,1826,0.368,1961,2,998000,-122.0347991,37.01799345,546.5498357064622,62.257955044516315
4133,3870,13319 Lakeshore Dr,Clearlake,95422,4,2.0,1638,0.201,1978,1,545000,-122.6653421,38.97086523,332.72283272283266,62.246161296364825
4134,2730,9870 Walnut St,Oakland,94603,3,2.0,760,0.162,1927,1,439000,-122.1675416,37.74453216,577.6315789473684,62.210205307848405
4135,4252,612 W Park St,Stockton,95203,3,2.0,1040,0.115,2002,2,309999,-121.301049,37.95799631,298.0759615384615,61.88345909689782
4136,4328,2947 S Bieghle St,Stockton,95206,5,3.0,2285,0.154,2019,2,415000,0.0,0.0,181.61925601750545,61.86421475677674
4137,3763,2875 Atlanta Drive,Tracy,95376,4,2.0,1854,0.17600000000000002,1985,2,474000,-121.4375265,37.75761279,255.66343042071202,61.82694715752567
4138,4311,2875 Atlanta Drive,Tracy,95376,4,2.0,1854,0.17600000000000002,1985,2,474000,-121.4375265,37.75761279,255.66343042071202,61.82694715752567
4139,48,10 Broadview Ter,Orinda,94563,4,3.0,2500,0.65,1951,2,1750000,-122.1683095,37.87647819,700.0,61.80687998869817
4140,2447,10 Broadview Ter,Orinda,94563,4,3.0,2500,0.65,1951,2,1750000,-122.1683095,37.87647819,700.0,61.80687998869817
4141,1025,17570 Manzanita Dr,Morgan Hill,95037,4,3.0,3707,0.529,1988,2,1424000,0.0,0.0,384.13811707580254,61.79686537136271
4142,4345,2004 Ladera Dr,Lincoln,95648,4,4.5,4012,0.36,2004,4,969000,-121.2458092,38.8554233,241.5254237288136,61.792164064891345
4143,650,Address Not Disclosed,Pescadero,94060,4,3.0,3075,1.96,2003,0,5275000,0.0,0.0,1715.4471544715448,61.784355615524454
4144,4728,Address Not Disclosed,Pescadero,94060,4,3.0,3075,1.96,2003,0,5275000,0.0,0.0,1715.4471544715448,61.784355615524454
4145,3717,5833 Cold Water Dr,Castro Valley,94552,4,2.0,1891,0.366,1972,2,985000,-122.0441637,37.71585704,520.888418826018,61.78275552344107
4146,4320,3410 Dewey Ct,Stockton,95212,4,2.5,2602,0.145,2002,3,389950,-121.2709472,38.03247495,149.86548808608762,61.738070358760005
4147,4385,533 Isbel Dr,Santa Cruz,95060,4,2.5,2774,0.483,1969,2,1295000,-122.0146027,36.99843417,466.83489545782265,61.55095087901413
4148,1616,812 S 7th St,San Jose,95112,3,1.0,1460,0.373,1902,2,999000,-121.8748994,37.32685315,684.2465753424657,61.48494449737443
