,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
4433,22,2410 Sunflower Cir,Gilroy,95020,6,4.5,4314,0.489,1999,3,Single Family Residence,1374985,-121.620957072859,37.0201959460243
4434,23,6711 Garden Ct,Gilroy,95020,3,2.0,1138,0.16899999999999998,1963,2,Single Family Residence,699000,-121.56643781678,36.9965781526408
4435,24,8585 Strawberry Ln,Gilroy,95020,4,3.0,3621,0.679,2003,4,Single Family Residence,1374999,-121.623500938426,37.0197542190815
4436,25,9328 Lone Deer Way,Gilroy,95020,4,3.0,2658,0.14400000000000002,1998,3,Single Family Residence,910000,-121.601708414631,37.02805292672
4437,26,7932 Cinnamon Way,Gilroy,95020,4,3.0,3018,0.20199999999999999,2016,3,Single Family Residence,1199000,0.0,0.0
4438,27,6445 Sussex Pl,Gilroy,95020,4,2.0,2147,0.161,1981,2,Single Family Residence,774999,-121.565862332924,36.9927586965761
4439,28,1446 Swallow Ln,Gilroy,95020,4,2.5,1988,0.134,1997,2,Single Family Residence,794000,-121.607250851451,37.0258923537137
4440,29,293 Windsong Way,Gilroy,95020,4,3.5,2729,0.214,2014,2,Single Family Residence,879000,0.0,0.0
4441,30,7620 Mackenzie Way,Gilroy,95020,4,3.0,3191,0.142,2011,3,Single Family Residence,1225000,-121.618646,37.0062232031726
4442,0,38 Jehl Ave,Freedom,95019,3,2.0,1100,0.12,1937,2,Single Family Residence,799000,-121.771469111937,36.9313640969569
4443,0,3230 Hawes Dr,Santa Cruz,95062,1,2.0,871,0.067,1939,0,Single Family Residence,1189000,-121.972170673469,36.958466
4444,1,528 Atlantic Ave,Santa Cruz,95062,2,2.5,1322,0.264,1927,2,Single Family Residence,4500000,-122.004531888104,36.9645469384138
4445,2,130 Sunny Cove Dr,Santa Cruz,95062,3,2.0,1803,0.086,1923,1,Single Family Residence,1795000,-121.988778428571,36.9606439795918
4446,3,906 Corcoran Ave,Santa Cruz,95062,3,2.0,1437,0.14,1979,2,Single Family Residence,949000,-121.980282476752,36.9668034767872
4447,4,730 Tanner Ct,Santa Cruz,95062,3,2.5,2043,0.128,2001,2,Single Family Residence,1295000,-121.991910040816,36.9777623673469
4448,5,2210 S Rodeo Gulch Rd,Santa Cruz,95062,3,1.5,1050,0.156,1964,2,Single Family Residence,815000,-121.969415,36.9813023347578
4449,6,22035 E Cliff Dr,Santa Cruz,95062,3,3.0,1611,0.07,1946,0,Single Family Residence,1595000,-121.985491320944,36.9610942496243
4450,7,4342 Gladys Ave,Santa Cruz,95062,2,1.0,1054,0.13699999999999998,1951,1,Single Family Residence,1250000,-121.9626203775,36.967002272549
