Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1342 Hayes St,San Francisco,CA,94117,4885000,4,3.5,3765,3485,37.775178,-122.438595
1284 Stanyan St,San Francisco,CA,94117,3600000,2,2,1445,10018.8,37.759981,-122.451247
126 Cole St,San Francisco,CA,94117,2500000,6,1,2300,2614,37.773882,-122.450794
128 Woodland Ave,San Francisco,CA,94117,4200000,4,3.5,3514,2614,37.761983,-122.453218
267 Buena Vista Ave E,San Francisco,CA,94117,3295000,3,3,2400,2178,37.768005,-122.439133
3800 Washington St,San Francisco,CA,94118,30000000,9,7.5,,20473.2,37.789136,-122.455972
3530 Washington St,San Francisco,CA,94118,10250000,5,4.5,6245,3049,37.789714,-122.451257
3990 Washington St,San Francisco,CA,94118,9950000,6,6.5,7600,4443,37.788606,-122.459065
55 Palm Ave,San Francisco,CA,94118,6995000,6,6.5,6305,4792,37.784634,-122.458322
766 10th Ave,San Francisco,CA,94118,1875000,3,3.5,2100,,37.773934,-122.467739
3363 Washington St,San Francisco,CA,94118,4995000,6,5.5,,4792,37.78956,-122.448209
449 Parker Ave,San Francisco,CA,94118,5700000,5,5,5150,6600,37.778464,-122.453864
115 Walnut St,San Francisco,CA,94118,6500000,3,3.5,2925,3485,37.790086,-122.449438
233 Stanyan St,San Francisco,CA,94118,1995000,2,2,,2178,37.776724,-122.455316
2028 McAllister St,San Francisco,CA,94118,3895000,5,5.5,3585,3485,37.77717,-122.445536
318 6th Ave,San Francisco,CA,94118,1998800,3,3,2450,3049,37.782337,-122.46405
3 Cook St,San Francisco,CA,94118,1995000,3,2.5,,4356,37.783598,-122.452828
708 2nd Ave,San Francisco,CA,94118,2999000,5,3,3418,3485,37.775323,-122.459275
631 12th Ave,San Francisco,CA,94118,1975000,4,3,2250,3920,37.776248,-122.470711
414 12th Ave,San Francisco,CA,94118,2595000,3,3.5,2930,3049,37.780127,-122.470332
2736 Fulton St,San Francisco,CA,94118,2998000,5,5.5,3270,2831,37.774234,-122.461259
538 16th Ave,San Francisco,CA,94118,1595000,3,1,2340,3049,37.777856,-122.47456
415 Cornwall St,San Francisco,CA,94118,1695000,3,2,2584,2614,37.784594,-122.463833
140 Sea Cliff Ave,San Francisco,CA,94121,19500000,5,5.5,6305,6970,37.789056,-122.487309
494 46th Ave,San Francisco,CA,94121,1599000,3,1.5,1444,3106,37.779294,-122.506977
841 47th Ave,San Francisco,CA,94121,2098000,5,4,2897,3485,37.77254,-122.508158
255 28th Ave,San Francisco,CA,94121,3495000,4,3.5,3225,3049,37.784571,-122.488607
5440 Anza St,San Francisco,CA,94121,2590000,5,4,2828,3049,37.777431,-122.506774
414 36th Ave,San Francisco,CA,94121,3998000,5,4,3968,4356,37.781178,-122.496375
715 32nd Ave,San Francisco,CA,94121,2995000,5,6,3060,3049,37.775525,-122.492259
