School Code,Score,Zip Code,School Name
111518,39.31375,90059,Alliance Jack H. Skirball Middle
121285,40.91,90059,Alliance Cindy And Bill Simon Technology Academy H
1933001,58.845,90059,King/Drew Medical Magnet High
6058028,14.09125,90061,Samuel Gompers Middle
120071,17.976,90061,New Designs Charter School-Watts
118588,18.49,90061,Alain Leroy Locke College Preparatory Academy
118760,20.52875,90061,Barack Obama Charter
111625,25.355,90061,Animo Watts College Preparatory Academy
129270,28.23625,90061,Animo Mae Jemison Charter Middle
6015903,31.44888889,90061,Avalon Gardens Elementary
6018469,39.71875,90061,One Hundred Eighteenth Street
6018576,46.8625,90061,One Hundred Twenty-Second Street Elementary
122416,5.20375,90062,Barack Obama Global Preparation Academy
131847,11.02375,90062,Public Policy Charter
134361,12.46333333,90062,La's Promise Charter Middle #1
6019905,15.78625,90062,Western Avenue Elementary
133884,22.035,90062,California Collegiate Charter
6019061,23.15375,90062,Martin Luther King Jr. Elementary
125625,37.629,90062,Kipp Scholar Academy
1937085,14.29,90063,Ramona Opportunity High
6017487,21.778,90063,Harrison Street Elementary
1996115,22.70727273,90063,City Of Angels
6016018,24.5075,90063,Belvedere Elementary
122366,25.13,90063,Social Justice Leadership Academy At Esteban E. To
6017446,25.985,90063,William R. Anton Elementary
6057889,26.70125,90063,Belvedere Middle
6071443,27.874,90063,Robert F. Kennedy Elementary
122382,30.645,90063,Engineering And Technology Academy At Esteban E. T
6018014,32.536,90063,Malabar Street Elementary
128033,34.2025,90063,Alliance College-Ready Middle Academy 8
122358,34.785,90063,Humanitas Academy Of Art And Technology At Esteban
122341,35.18,90063,Esteban Torres East La Performing Arts Magnet
122374,36.67,90063,East Los Angeles Renaissance Academy At Esteban E.
6018055,43.221,90063,Marianna Avenue Elementary
116509,43.475,90063,Alliance Morgan Mckinzie High
6016505,48.2125,90063,City Terrace Elementary
128512,56.183,90063,Kipp Academy Of Innovation
131821,65.28,90063,Collegiate Charter High Of Los Angeles
117622,18.99625,90064,Magnolia Science Academy 4
6058358,24.6925,90064,Daniel Webster Middle
134148,57.9025,90064,The City
6018873,58.379,90064,Richland Avenue Elementary
126193,65.019,90064,Citizens Of The World Charter School Mar Vista
6018618,85.6125,90064,Overland Avenue Elementary
6015853,16.70375,90065,Aragon Avenue Elementary
6017271,23.01375,90065,Glassell Park Elementary
6017958,27.9075,90065,Loreto Street Elementary
6017115,28.567,90065,Fletcher Drive Elementary
119974,31.14125,90065,Puc Santa Rosa Charter Academy
127829,32.64875,90065,Studio
6058192,33.35625,90065,Florence Nightingale Middle
112235,42.83875,90065,Los Feliz Charter School For The Arts
6058077,45.6025,90065,"Washington Irving Middle School Math, Music And En"
124933,45.93,90065,Puc Early College Academy For Leaders And Scholars
117606,48.165,90065,Alliance Leichtman-Levine Family Foundation Enviro
124420,48.57,90065,School Of History And Dramatic Arts At Sonia Sotom
121293,51.11,90065,Alliance Tennenbaum Family Technology High
122655,53.19785714,90065,Celerity Octavia Charter
124412,55.1,90065,Los Angeles River At Sonia Sotomayor Learning Acad
101683,60.27,90065,Renaissance Arts Academy
6018246,67.647,90065,Mt. Washington Elementary
6016745,72.59,90065,Delevan Drive Elementary
1930783,6.25,90066,Phoenix Continuation
6058127,21.1975,90066,Marina Del Rey Middle
122499,26.24625,90066,Animo Westside Charter Middle
6058135,34.74375,90066,Mark Twain Middle
6019822,38.1375,90066,Walgrove Avenue Elementary
115287,41.47125,90066,Icef Vista Middle Academy
6019202,42.859,90066,Short Avenue Elementary
6015994,44.79375,90066,Beethoven Street Elementary
1939040,45.705,90066,Venice Senior High
117937,47.84125,90066,Icef Vista Elementary Academy
6017347,51.415,90066,Grand View Boulevard Elementary
102335,60.995,90066,Ocean Charter
117978,69.5025,90066,Goethe International Charter
6018048,77.455,90066,Mar Vista Elementary
6019657,78.4075,90068,Valley View Elementary
6019871,81.27375,90069,West Hollywood Elementary
125864,58.03,90071,Ednovate - Usc Hybrid High College Prep
6018964,94.8575,90077,Roscomare Road Elementary
126383,65.5975,90094,Playa Vista Elementary
6018667,22.085,90201,Park Avenue Elementary
6118186,22.24428571,90201,Ellen Ochoa Learning Center
6016885,22.434375,90201,Elizabeth Learning Center
6020655,23.61375,90201,Suva Elementary
1930825,24.415,90201,Bell Gardens High
122408,24.52375,90201,Orchard Academies 2C
6058408,24.8375,90201,Bell Gardens Intermediate
6020564,27.43875,90201,Garfield Elementary
6085682,27.7975,90201,Suva Intermediate
122747,29.67,90201,Magnolia Science Academy Bell
122390,32.12,90201,Orchard Academies 2B
6020531,32.62125,90201,Cesar E. Chavez Elementary
6016620,32.6825,90201,Corona Avenue Elementary
122168,33.116,90201,Jaime Escalante Elementary
6107411,33.88,90201,Teresa Hughes Elementary
6020051,35.4125,90201,Woodlawn Avenue Elementary
6020515,36.15875,90201,Bell Gardens Elementary
6110274,38.348,90201,Nueva Vista Elementary
1930866,42.77,90201,Bell Senior High
6011761,67.44642857,90210,Hawthorne Elementary
6011753,76.67,90210,El Rodeo Elementary
133231,23.94333333,90211,"Albert Einstein Academy For Letters, Arts & Scienc"
6011779,70.14214286,90211,Horace Mann Elementary
